2025-05-30;734,37 MAD ;747,4 MAD ;
2025-06-02;751,99 MAD ;765,0 MAD ;
2025-06-03;744,89 MAD ;757,9 MAD ;
2025-06-04;749,23 MAD ;762,2 MAD ;
2025-06-05;742,48 MAD ;755,5 MAD ;
2025-06-06;730,84 MAD ;743,8 MAD ;
2025-06-09;734,80 MAD ;747,8 MAD ;
2025-06-10;733,68 MAD ;746,7 MAD ;
2025-06-11;741,88 MAD ;754,9 MAD ;
2025-06-12;743,36 MAD ;756,4 MAD ;
2025-06-13;755,02 MAD ;768,0 MAD ;
2025-06-16;744,29 MAD ;757,3 MAD ;
2025-06-17;745,65 MAD ;758,7 MAD ;
2025-06-18;744,71 MAD ;757,7 MAD ;
2025-06-19;743,11 MAD ;756,1 MAD ;
2025-06-20;741,59 MAD ;754,6 MAD ;
2025-06-23;739,97 MAD ;753,0 MAD ;
2025-06-24;728,80 MAD ;741,8 MAD ;
2025-06-25;730,86 MAD ;743,9 MAD ;
2025-06-26;723,68 MAD ;736,7 MAD ;
2025-06-27;714,21 MAD ;727,2 MAD ;
2025-06-30;718,64 MAD ;731,6 MAD ;
2025-07-01;723,29 MAD ;736,3 MAD ;
2025-07-02;728,73 MAD ;741,7 MAD ;
2025-07-03;719,62 MAD ;732,6 MAD ;
2025-07-04;721,96 MAD ;735,0 MAD ;
2025-07-07;725,57 MAD ;738,6 MAD ;
2025-07-08;716,72 MAD ;729,7 MAD ;
2025-07-09;720,99 MAD ;734,0 MAD ;
2025-07-10;721,49 MAD ;734,5 MAD ;
2025-07-11;728,50 MAD ;741,5 MAD ;
2025-07-14;726,41 MAD ;739,4 MAD ;
2025-07-15;724,89 MAD ;737,9 MAD ;
2025-07-16;731,18 MAD ;744,2 MAD ;
2025-07-17;728,78 MAD ;741,8 MAD ;
2025-07-18;731,37 MAD ;744,4 MAD ;
2025-07-21;740,29 MAD ;753,3 MAD ;
2025-07-22;745,63 MAD ;758,6 MAD ;
2025-07-23;734,73 MAD ;747,7 MAD ;
